Variety Name,botanical_variety,Origin,cluster,soluble_solids,glucose,fructose,citric_acid
VF-36,S. lycopersicum,United States,modern,4.52,11.83,15.06,4.15
Marglobe ,S. lycopersicum,United States,heirloom,3.60,15.06,17.21,4.58
EA03456,S. lycopersicum,Italy,heirloom,4.13,9.68,12.69,NA
Lyuda's Mom's Red Ukranian,S. lycopersicum,Unknown,modern,4.72,13.86,16.17,3.78
Pomodoro Costoluto Genovese,S. lycopersicum,Italy,heirloom,4.73,13.91,15.86,NA
EA01448,S. lycopersicum var cerasiforme,Costa Rica,heirloom,4.60,13.23,15.76,NA
,S. lycopersicum var cerasiforme,Costa Rica,heirloom,5.60,17.15,21.36,NA
Turrialba,S. lycopersicum var cerasiforme,Costa Rica,heirloom,6.98,20.60,25.00,11.13
Puno I,S. lycopersicum,Peru,modern,4.40,13.52,18.17,NA
Madara,NA,,transitional,6.10,21.50,21.39,NA
KR2     ,S. lycopersicum,,modern,4.13,11.95,14.21,2.74
Santa Clara Canner,NA,Unknown,heirloom,5.10,18.48,19.19,NA
Solnecnyj,S. lycopersicum,Russia,heirloom,4.33,14.03,14.36,NA
Krasndoor Titans,NA,Unknown,heirloom,3.80,9.59,12.50,3.74
Ijulskij,S. lycopersicum,Russia,heirloom,3.93,12.09,14.99,NA
Sprint,NA,unknown,modern,3.80,8.29,10.52,4.22
Scatolone di bolsena,NA,Italy,heirloom,4.33,11.68,13.38,2.89
LA0292,S. lycopersicum var cerasiforme,Ecuador,heirloom,4.87,13.90,18.72,NA
Lee Williams,NA,unknown,cerasiforme,6.03,20.62,24.53,NA
NC EBR-6 ,S. lycopersicum,United States,modern,4.47,13.55,13.75,3.08
Rutgers ,S. lycopersicum,United States,heirloom,4.38,12.04,15.20,3.76
Fireball,S. lycopersicum,United States ,heirloom,4.40,10.55,13.56,4.78
Pearson ,S. lycopersicum,United States,modern,5.78,19.45,21.15,4.60
Moyobamba,S. lycopersicum var cerasiforme,Peru,heirloom,4.68,14.70,15.77,NA
Severianin ,S. lycopersicum,Russia,heirloom,4.60,11.30,14.62,4.16
Cuba Plum,S. lycopersicum var cerasiforme,Cuba,heirloom,4.73,13.32,18.88,NA
Primabel,S. lycopersicum,France,heirloom,5.17,14.62,17.61,4.04
Peto95-43,S. lycopersicum,United States ,modern,4.73,12.15,14.68,3.70
La Estancilla,S. pimpinellifolium,Ecuador,pimpinellifolium,5.20,20.79,18.90,NA
Hacienda Rosario,S. lycopersicum,Chile,heirloom,4.53,12.17,16.01,2.68
Vito,NA,Italy,heirloom,3.53,8.48,12.81,2.73
Spagnoletta,NA,Italy,heirloom,4.38,10.09,12.92,5.19
Malintka 101,NA,Italy,modern,4.50,14.64,17.29,NA
Red Setter,NA,USA,heirloom,3.93,12.22,15.12,NA
Chota to EI Angel,S. pimpinellifolium,Ecuador,pimpinellifolium,8.70,25.00,27.99,11.57
149-77,NA,Italy,modern,4.37,13.97,14.66,3.55
Saladette,NA,Italy,heirloom,4.63,15.45,17.74,3.96
Roma,NA,Italy,transitional,4.20,10.71,13.44,3.65
Florida 7547 ,S. lycopersicum,United States,modern,3.93,14.11,16.23,3.57
UC-204C ,NA,,modern,4.80,13.02,15.71,3.80
LA2093,S. pimpinellifolium,Ecuador,pimpinellifolium,7.34,18.63,22.15,11.61
Tarapoto,S. lycopersicum,Peru,heirloom,4.05,9.41,12.59,3.54
T-5 ,S. lycopersicum,United States,modern,4.73,13.14,14.65,5.38
Santa Cruz B,S. lycopersicum,Brazil,heirloom,4.20,13.42,16.36,2.04
Xol Languna,S. lycopersicum,Mexico,heirloom,4.04,10.71,13.14,2.67
Muna,S. lycopersicum var cerasiforme,Mexico,cerasiforme,6.70,18.00,21.12,NA
Condine Red,S. lycopersicum,Germany,transitional,4.13,10.67,14.27,3.41
Balsa Huaico,S. pimpinellifolium,Peru,pimpinellifolium,8.47,24.17,30.20,11.68
Astrachan,S. lycopersicum,Russia,heirloom,4.93,13.32,14.83,NA
 PE-67 ,S. lycopersicum var cerasiforme,Peru,pimpinellifolium,6.23,18.56,22.02,NA
Polijarnyj,NA,Russia,transitional,4.23,12.01,14.63,NA
LA1246 ,S. pimpinellifolium,Ecuador,pimpinellifolium,12.90,40.15,42.75,11.02
Success,S. lycopersicum,Russia,heirloom,5.23,18.10,20.54,NA
Stambovyj 852,S. lycopersicum,Russia,heirloom,4.03,13.01,17.43,3.34
Eh-lim (My People),S. lycopersicum,Azerbaijan,heirloom,4.43,14.67,15.50,3.88
Marmande,S. lycopersicum,France,heirloom,4.06,10.43,12.97,3.09
Veracruz,S. lycopersicum var cerasiforme,Mexico,cerasiforme,6.55,22.30,26.15,NA
Piura,S. lycopersicum,Peru,modern,4.83,14.68,15.59,3.17
Tegucigalpa,S. lycopersicum,Honduras,transitional,4.28,15.54,16.37,3.62
Da appendere,NA,Italy,modern,4.77,14.48,15.30,3.37
Cuor di bue di Albenga,NA,Italy,heirloom,5.30,13.71,18.53,NA
UC-82,S. lycopersicum,United States,modern,4.18,12.23,14.63,3.22
Early Dwarf,S. lycopersicum,Canada,heirloom,3.97,12.78,15.41,NA
Curry,NA,Unknown,heirloom,4.10,13.30,13.74,3.07
Delight,S. lycopersicum,Russia,heirloom,4.27,12.38,18.00,NA
,NA,Tunisia,transitional,4.03,13.64,16.56,NA
DANA,NA,Unknown,heirloom,4.60,16.11,17.51,NA
CRIMEAN,NA,Unknown,heirloom,3.73,7.73,14.45,NA
Ukrainskij Teplicnyj 285,NA,Russia,heirloom,4.03,10.19,13.07,3.32
LA1457 ,S. lycopersicum var cerasiforme,Mexico ,cerasiforme,7.10,22.88,25.52,NA
LA2183,S. pimpinellifolium,Peru,pimpinellifolium,8.85,26.76,31.52,11.55
"Hellfrucht, Rotfruechtig",NA,Germany,transitional,4.30,14.23,14.13,NA
B-L-35,S. lycopersicum,Spain,heirloom,3.50,9.15,12.21,2.75
Rowpac,S. lycopersicum,United States,modern,4.60,13.42,14.42,4.14
Monplaisir,S. lycopersicum var cerasiforme,,transitional,5.23,20.27,22.21,NA
Stone,S. lycopersicum,United States,heirloom,4.60,11.07,14.92,2.82
Nagcarlang,NA,Philippines,heirloom,5.33,17.93,20.23,NA
Santa Chiara,NA,Italy,modern,3.67,10.72,13.52,NA
Francescano,NA,Italy,heirloom,4.87,17.89,20.25,NA
Severianin,NA,Russia,heirloom,4.03,11.02,13.11,3.38
Pantano dArdea,NA,Italy,heirloom,4.47,14.41,16.95,2.69
Earliana,NA,,heirloom,4.33,11.93,15.60,4.68
Ace ,S. lycopersicum,United States,heirloom,5.23,14.63,17.22,2.72
Ailsa Craig ,NA,unknown,cerasiforme,4.35,12.49,16.21,NA
Libanese,NA,Libanon,heirloom,4.10,12.74,15.76,NA
White Oxheart,NA,,heirloom,4.40,12.58,15.22,1.84
Hot set,S. lycopersicum,Italy,heirloom,4.90,12.40,16.38,4.83
LA1210,S. lycopersicum,El Salvador,heirloom,4.40,14.00,15.65,4.36
LA2402,S. lycopersicum var cerasiforme,Brazil,cerasiforme,6.73,21.70,24.77,NA
Bell pepper-like,NA,Italy,heirloom,3.23,14.20,15.33,2.30
Florida 7060 ,S. lycopersicum,United States,modern,4.75,15.03,14.89,3.25
,S. lycopersicum var cerasiforme,,heirloom,4.90,17.47,19.81,NA
Prince Borghese ,S. lycopersicum,Italy,heirloom,3.63,10.26,12.29,2.13
Da serbo,NA,Italy,transitional,4.20,15.74,18.25,NA
LA1375,S. pimpinellifolium,Peru,pimpinellifolium,9.48,31.57,36.97,13.74
NC 265-1 (93)-3-3 ,S. lycopersicum,United States,modern,4.50,12.92,15.12,2.81
NC 84173 ,S. lycopersicum,United States,modern,5.50,16.62,20.00,3.08
Flora-Dade,S. lycopersicum,United States,modern,4.10,12.24,14.59,2.97
,NA,Italy,heirloom,4.30,12.38,14.59,NA
Panama,NA,Panama,heirloom,4.43,13.71,15.60,3.65
Vrbikanske Nizke,NA,Bulgaria/Italy,transitional,3.70,7.88,10.73,NA
Phyra,S. lycopersicum var cerasiforme,,pimpinellifolium,3.83,11.05,13.77,NA
Santa Clara 5800,NA,Brasil,modern,4.37,14.51,16.14,2.26
Mobalcon,NA,Greece,cerasiforme,6.80,14.02,23.81,NA
Pisiquillo,S. pimpinellifolium,Peru,pimpinellifolium,9.35,27.77,33.77,12.06
Barnaulski Konservnyi,NA,Russia,heirloom,4.15,9.76,12.81,3.55
Jalapa,S. lycopersicum var cerasiforme,Mexico,cerasiforme,5.33,11.61,19.50,NA
Guayaquil,S. lycopersicum,Ecuador,pimpinellifolium,3.80,10.44,13.60,4.77
Microtom,S. lycopersicum,France,heirloom,5.97,17.58,21.08,NA
Atom,S. lycopersicum var cerasiforme,,transitional,3.90,10.81,14.52,NA
M-82,S. lycopersicum,,modern,3.68,9.33,11.82,2.96
LA1620,S. lycopersicum var cerasiforme,Brazil,cerasiforme,5.77,15.75,21.95,NA
Tigerly,NA,unknown,transitional,4.17,12.24,15.30,NA
Red Streak,NA,Unknown,heirloom,4.67,11.03,18.32,NA
Belmonte,NA,Guatemala,heirloom,4.37,14.34,19.25,NA
Zerevo 109',NA,Russian federation,heirloom,5.03,16.96,18.84,NA
Platense,S. lycopersicum,Argentina,heirloom,4.00,10.65,13.99,3.76
Macas,S. lycopersicum var cerasiforme,Ecuador,heirloom,4.97,16.03,18.72,NA
NC EBR-5,S. lycopersicum,United States ,heirloom,5.20,16.68,17.01,3.29
Quito,S. lycopersicum,Ecuador,heirloom,4.87,13.05,15.58,3.50
Ayacucho,S. lycopersicum,Peru,transitional,4.57,10.63,13.84,6.06
,NA,Mexico ,heirloom,6.00,20.95,22.32,NA
NK VI,S. lycopersicum,CZECH REPUBLIC ,modern,4.38,13.27,14.73,NA
Chinese Red,NA,Unknown,heirloom,4.40,12.85,14.75,3.04
N 795 Pescio,S. lycopersicum var cerasiforme,Peru,heirloom,5.75,20.11,23.58,NA
,NA,,heirloom,4.60,14.04,20.18,NA
Merida,S. lycopersicum,Mexico,heirloom,4.27,10.94,15.40,NA
Clémentine,S. lycopersicum var cerasiforme,,cerasiforme,6.60,19.29,25.09,NA
Yellow cherry,NA,Russia,cerasiforme,6.73,27.04,32.56,NA
,S. lycopersicum,Spain,heirloom,3.80,7.21,13.26,NA
,NA,Italy,heirloom,4.50,12.26,17.12,NA
Heinz 1706-BG,S. lycopersicum,United States,heirloom,4.13,11.38,14.38,3.07
ostankinskij 121,NA,Russian federation,heirloom,4.73,14.82,18.07,NA
,S. lycopersicum,Peru,heirloom,3.73,7.55,10.67,3.98
Marpha N2,S. lycopersicum var cerasiforme,France,cerasiforme,5.80,15.65,20.53,NA
Minibel,S. lycopersicum var cerasiforme,,transitional,4.57,12.87,16.60,NA
,NA,Italy,heirloom,4.67,14.06,14.77,3.85
,S. lycopersicum var cerasiforme,Argentina,heirloom,6.20,19.64,22.92,NA
LA1511 ,S. lycopersicum,Brazil,heirloom,3.97,7.55,13.22,NA
Rio Grande,S. lycopersicum,United States,modern,4.25,11.43,13.76,3.73
King Humbert #1,S. lycopersicum,Italy,heirloom,4.00,9.85,12.72,2.28
Hacienda Buenos Aires,S. pimpinellifolium,Peru,pimpinellifolium,10.60,37.61,41.86,12.85
Santo Tome,S. pimpinellifolium,Peru,pimpinellifolium,8.20,21.98,27.20,12.48
San Ignacia de Moxos,S. pimpinellifolium,Bolivia,pimpinellifolium,7.20,10.12,12.17,10.28
Dwarf Gem,S. lycopersicum,Unknown,transitional,3.86,9.84,12.22,2.99
Canestrino,NA,Italy,heirloom,4.40,12.56,15.96,2.90
N135 Green Gage,S. lycopersicum var cerasiforme,Deutchland,cerasiforme,4.67,14.62,18.06,NA
Slava,NA,Bulgaria,heirloom,4.63,12.68,14.52,3.99
Linosa,NA,Italy,heirloom,3.25,8.50,12.05,NA
174 MS,NA,unknown,modern,4.73,13.80,15.17,3.46
PE-63,S. lycopersicum var cerasiforme,Peru,heirloom,5.07,15.64,19.05,NA
Large Pink,NA,unknown,heirloom,5.00,14.67,16.30,6.24
Stage,NA,Moldova,heirloom,4.10,8.84,14.16,NA
Hunt100,S. lycopersicum,United States,heirloom,5.34,14.32,15.34,3.93
Early Santa Clara,S. lycopersicum,United States,modern,4.77,15.17,18.58,NA
N 347 Yablochnyi,S. lycopersicum var cerasiforme,Mexico,heirloom,4.73,12.95,16.74,NA
Cerise du sud ouest N 2,S. lycopersicum var cerasiforme,,cerasiforme,5.25,14.15,23.51,NA
San Martin de Pangoa,S. lycopersicum var cerasiforme,Peru,cerasiforme,4.93,11.91,15.28,NA
Cisterno,S. lycopersicum var cerasiforme,,heirloom,4.90,15.23,19.57,NA
Kopiah,S. lycopersicum,United States ,heirloom,5.27,16.44,17.15,NA
Allungato piccolo,NA,Brasil,cerasiforme,4.67,15.66,18.08,NA
,S. lycopersicum,CHINA ,heirloom,4.50,12.80,16.10,NA
,S. lycopersicum var cerasiforme,India,heirloom,5.05,14.85,18.84,NA
N 2257 Dikorastushii...,S. lycopersicum var cerasiforme,Peru,heirloom,5.17,16.53,21.17,NA
OH88119,S. lycopersicum,unknown,heirloom,4.00,11.40,13.10,4.24
Green Zebra,S. lycopersicum,unknown,heirloom,4.90,13.77,14.37,NA
N 933,S. lycopersicum var cerasiforme,Uzbekistan,heirloom,4.63,15.93,19.16,NA
Droplet,S. lycopersicum,,transitional,4.33,13.63,15.82,NA
Iezaoshang,S. lycopersicum,China,heirloom,4.63,15.17,18.31,NA
San Francisco,S. lycopersicum var cerasiforme,Peru,heirloom,4.63,14.99,17.78,NA
