Fecha,Tweets published,impresiones,interacciones,tasa de interacción,retweets,respuestas,me gusta,clics de perfil de usuario,clics en URL,clics de etiquetas,ampliaciones de detalles,clics en enlaces permanentes,Se abre la aplicación,descargas de app,seguimientos,enviar Tweet por correo electrónico,marcar teléfono,visualizaciones multimedia,interacciones con el contenido multimedia,impresiones promocionado,interacciones promocionado,tasa de interacción promocionado,retweets promocionado,respuestas promocionado,me gusta promocionado,clics de perfil de usuario promocionado,clics en URL promocionado,clics de etiquetas promocionado,ampliaciones de detalles promocionado,clics en enlaces permanentes promocionado,Se abre la aplicación promocionado,descargas de app promocionado,seguimientos promocionado,enviar Tweet por correo electrónico promocionado,marcar teléfono promocionado,visualizaciones multimedia promocionado,interacciones con el contenido multimedia promocionado
4/1/2022,2,3131,81,0.025870329,3,1,22,15,0,21,12,0,0,0,0,0,0,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4/2/2022,3,3051,152,0.049819731,5,2,45,12,3,8,15,0,0,0,0,0,0,74,62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4/3/2022,2,1631,75,0.045984059,1,1,24,5,0,6,6,0,0,0,0,0,0,32,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4/4/2022,4,1892,88,0.046511628,3,3,30,7,0,3,10,0,0,0,0,0,0,32,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4/5/2022,2,1049,34,0.032411821,1,1,14,1,0,1,5,0,0,0,0,0,0,13,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4/6/2022,3,2157,94,0.043579045,4,0,28,11,1,7,7,0,0,0,0,0,0,40,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4/7/2022,3,596,22,0.036912752,0,1,6,0,0,4,2,0,0,0,0,0,0,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4/8/2022,2,2043,132,0.064610866,4,0,42,11,0,0,3,0,0,0,0,0,0,72,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4/9/2022,1,1429,97,0.067879636,3,0,35,4,3,4,10,0,0,0,0,0,0,38,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4/10/2022,0,1602,116,0.072409488,3,2,21,13,0,4,12,0,0,0,0,0,0,61,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
