location,level,year,value
Canada,below upper secondary,2020,7.5580816
Canada,upper secondary,2020,32.480804
France,below upper secondary,2020,18.510624
France,upper secondary,2020,41.77206
Italy,below upper secondary,2020,37.138462
Italy,upper secondary,2020,42.726028
Mexico,below upper secondary,2020,58.403774
Mexico,upper secondary,2020,22.163275
Spain,below upper secondary,2020,37.134796
Spain,upper secondary,2020,23.178282
United Kingdom,below upper secondary,2020,18.349808
United Kingdom,upper secondary,2020,32.259743
United States,below upper secondary,2020,8.2770815
United States,upper secondary,2020,41.667641
Brazil,below upper secondary,2020,42.992283
Brazil,upper secondary,2020,36.871086
Australia,below upper secondary,2020,16.244976
Australia,upper secondary,2020,34.417572
Israel,below upper secondary,2020,11.989373
Israel,upper secondary,2020,37.889904
