package,year,count
corrplot,2004,0
corrplot,2005,0
corrplot,2006,0
corrplot,2007,0
corrplot,2008,0
corrplot,2009,0
corrplot,2010,3
corrplot,2011,6
corrplot,2012,8
corrplot,2013,11
corrplot,2014,11
corrplot,2015,11
corrplot,2016,13
corrplot,2017,14
corrplot,2018,14
corrplot,2019,14
corrplot,2020,14
corrplot,2021,17
dplyr,2004,0
dplyr,2005,0
dplyr,2006,0
dplyr,2007,0
dplyr,2008,0
dplyr,2009,0
dplyr,2010,0
dplyr,2011,0
dplyr,2012,0
dplyr,2013,0
dplyr,2014,8
dplyr,2015,12
dplyr,2016,13
dplyr,2017,18
dplyr,2018,22
dplyr,2019,27
dplyr,2020,32
dplyr,2021,36
FactoMineR,2004,0
FactoMineR,2005,0
FactoMineR,2006,3
FactoMineR,2007,7
FactoMineR,2008,10
FactoMineR,2009,11
FactoMineR,2010,12
FactoMineR,2011,13
FactoMineR,2012,16
FactoMineR,2013,20
FactoMineR,2014,23
FactoMineR,2015,28
FactoMineR,2016,32
FactoMineR,2017,36
FactoMineR,2018,38
FactoMineR,2019,40
FactoMineR,2020,43
FactoMineR,2021,43
ggplot2,2004,0
ggplot2,2005,0
ggplot2,2006,0
ggplot2,2007,6
ggplot2,2008,11
ggplot2,2009,15
ggplot2,2010,19
ggplot2,2011,19
ggplot2,2012,24
ggplot2,2013,25
ggplot2,2014,26
ggplot2,2015,28
ggplot2,2016,31
ggplot2,2017,31
ggplot2,2018,33
ggplot2,2019,36
ggplot2,2020,40
ggplot2,2021,1
knitr,2004,0
knitr,2005,0
knitr,2006,0
knitr,2007,0
knitr,2008,0
knitr,2009,0
knitr,2010,0
knitr,2011,0
knitr,2012,10
knitr,2013,18
knitr,2014,21
knitr,2015,25
knitr,2016,31
knitr,2017,34
knitr,2018,37
knitr,2019,42
knitr,2020,46
knitr,2021,51
limma,2004,7
limma,2005,18
limma,2006,33
limma,2007,41
limma,2008,41
limma,2009,41
limma,2010,41
limma,2011,41
limma,2012,41
limma,2013,41
limma,2014,41
limma,2015,41
limma,2016,41
limma,2017,41
limma,2018,41
limma,2019,41
limma,2020,41
limma,2021,41
purrr,2004,0
purrr,2005,0
purrr,2006,0
purrr,2007,0
purrr,2008,0
purrr,2009,0
purrr,2010,0
purrr,2011,0
purrr,2012,0
purrr,2013,0
purrr,2014,0
purrr,2015,1
purrr,2016,4
purrr,2017,7
purrr,2018,8
purrr,2019,12
purrr,2020,12
purrr,2021,12
reticulate,2004,0
reticulate,2005,0
reticulate,2006,0
reticulate,2007,0
reticulate,2008,0
reticulate,2009,0
reticulate,2010,0
reticulate,2011,0
reticulate,2012,0
reticulate,2013,0
reticulate,2014,0
reticulate,2015,0
reticulate,2016,0
reticulate,2017,8
reticulate,2018,15
reticulate,2019,20
reticulate,2020,24
reticulate,2021,27
rmarkdown,2004,0
rmarkdown,2005,0
rmarkdown,2006,0
rmarkdown,2007,0
rmarkdown,2008,0
rmarkdown,2009,0
rmarkdown,2010,0
rmarkdown,2011,0
rmarkdown,2012,0
rmarkdown,2013,0
rmarkdown,2014,2
rmarkdown,2015,9
