Country,Income Classification,Severe Wasting,Wasting,Overweight,Stunting,Underweight,U5 Population ('000s)
AFGHANISTAN,0,3.033333333,10.35,5.125,47.775,30.375,4918.5615
ALBANIA,2,4.075,7.76,20.8,24.16,7.7,232.8598
ARGELIA,2,2.733333333,5.942857143,12.83333333,19.57142857,7.342857143,3565.213143
ANGOLA,1,2.4,6.933333333,2.55,42.63333333,23.6,3980.054
ARGENTINA,2,0.2,2.15,11.125,10.025,2.6,3613.65175
ARMENIA,2,1.6,3.94,13.62,16.12,3.48,204.1452
AUSTRALIA,3,0,0,13.875,1,0.1,1443.0745
AZERBAIJAN,2,2.575,5.433333333,9.183333333,21.81666667,8.083333333,740.5016667
BAHRAIN,3,,6.7,7.5,13.75,6.95,63.371
BANGLADESH,1,2.813636364,14.5375,0.9625,54.22916667,46.26666667,15837.4275
BARBADOS,3,2,6.8,12.2,7.7,3.5,16.653
BELARUS,2,0.6,2.2,9.7,4.5,1.3,445.676
BELIZE,2,0.833333333,2.333333333,9.6,18.76666667,5.3,36.1045
BENIN,0,2.425,7.7,2.275,35.375,20.125,1476.52575
BHUTAN,1,1.4,4.525,5.1,44.25,17.8,74.79675
BOLIVIA,1,0.7,1.9,8.6,29.72857143,7.472727273,1104.222182
BOSNIA AND HERZEGOVINA,2,2.2,4.566666667,19.8,10.93333333,2.466666667,194.1566667
BOTSWANA,2,2.85,8.8,10.05,31.03333333,12.66666667,226.709
BRAZIL,2,0.7,2.3,6.25,13.13333333,3.925,17071.496
BRUNEI DARUSSALAM,3,0.4,2.9,8.3,19.7,9.6,31.337
BULGARIA,2,1.533333333,4.666666667,9,7.466666667,2,344.0373333
BURKINA FASO,0,4.169230769,12.73076923,2.25,33.34615385,25.07692308,2796.190615
BURUNDI,0,1.26,6.666666667,1.775,57.6,32.25,1497.888
CABO VERDE,1,,5.55,,24.1,12.75,60.583
CAMBODIA,1,3.483333333,11.46666667,3.033333333,43.68333333,31.98333333,1651.662167
CAMEROON,1,1.814285714,5.671428571,8.042857143,33.74285714,14.68571429,3170.714286
CANADA,3,,,10.4,,,1697.603
CENTRAL AFRICAN REPUBLIC,0,3.16,8.766666667,5.38,41.78333333,23.36666667,673.2005
CHAD,0,5.5,15.24,3.04,41.26,31.4,2024.2904
CHILE,3,,0.466666667,11.31333333,3.453333333,0.746666667,1303.080133
CHINA,2,0.92,3.175,7.027272727,20.6,7.9,97488.13342
COLOMBIA,2,0.366666667,1.657142857,4.783333333,18.21428571,5.857142857,4111.355286
COMOROS,1,5.4,10.125,12.46666667,39.125,19.575,90.28775
CONGO,1,2.433333333,7.2,4.875,26.725,13.1,614.63825
COSTA RICA,2,,1.7,8.8,6.9,2.2375,408.972125
COTE D'IVOIRE,1,2.6,8.8,4.3,31.38571429,17.67142857,2943.459429
CUBA,2,,2.4,,7,3.4,750.473
CZECHIA,3,1,3.7,5.55,2.9,1.5,543.6065
DEMOCRATIC PEOPLE'S REP. OF KOREA,0,1.275,8.842857143,1.066666667,40.3,23.12857143,1862.460429
DEMOCRATIC REP. OF THE CONGO,0,4.15,10.86,5.75,45.46,26.84,10621.0802
DJIBOUTI,1,9.4,17.075,8.25,30.075,22.625,99.44525
DOMINICAN REPUBLIC,2,0.742857143,2.2125,6.7,12.75,5.1625,990.9735
ECUADOR,2,0.58,2.183333333,5.72,28.75,8.316666667,1530.024833
EGYPT,1,2.4875,5.79,13.7625,28.5,8.64,8911.539818
EL SALVADOR,1,0.433333333,1.7,4.75,26.6,7.766666667,696.23
EQUATORIAL GUINEA,2,2.425,4.775,8.85,35.65,11.425,115.3865
ERITREA,0,4.633333333,14.6,1.666666667,53.225,37.55,407.6545
ESWATINI,1,0.6,1.7,11.425,32.5,6.82,148.2304
ETHIOPIA,0,3.016666667,9.957142857,2.75,47.84285714,31.05714286,13942.34557
FIJI,2,2,8.05,3.65,5.9,6.1,94.238
GABON,2,1.4,3.8,6.6,21.45,7.7,219.3365
GAMBIA,0,2.085714286,8.385714286,2.228571429,23.7,16.3,317.164625
GEORGIA,2,0.85,2.566666667,19.53333333,14,2.066666667,252.58
GERMANY,3,0.1,0.65,3.35,1.5,0.8,3641.69
GHANA,1,2.011111111,7.622222222,2.822222222,29.47777778,17.24444444,3299.961889
GUATEMALA,2,0.857142857,2.285714286,5.4,54.1,19.05714286,1849.864286
GUINEA,0,3.242857143,9.425,4.333333333,34.2375,19.2625,1712.441125
GUINEA-BISSAU,0,2.925,8.125,6.75,35.275,18.05,243.32675
GUYANA,2,2.45,9.12,5.24,15.28,11.38333333,87.14283333
HAITI,0,1.98,6.616666667,3.66,29.91666667,16.9,1216.808667
HONDURAS,1,0.275,1.828571429,3.9,36.85714286,13.78571429,963.0245714
INDIA,1,6.116666667,18.76666667,2.933333333,49.05555556,42.97777778,123014.491
INDONESIA,1,4.171428571,11.375,7.2,38.3625,24.3625,22286.51388
IRAN (ISLAMIC REPUBLIC OF),2,1.4,5.75,6.2,14.675,8,6392.827
IRAQ,2,2.175,5.542857143,9.5,24.51428571,8.5,4213.459714
JAMAICA,2,0.921052632,3.395,5.994736842,8.68,3.955,272.90005
JAPAN,3,0.2,2.3,1.5,7.1,3.4,5554.144
JORDAN,2,0.76,2.58,5.72,11.76,3.5,828.3772
KAZAKHSTAN,2,1.58,4.2,9.7,15.02,3.76,1485.4536
KENYA,1,2.3625,6.466666667,5.95,37.14444444,16.75,5569.008889
KIRIBATI,1,,12.6,15.9,34.4,13.2,11.626
KUWAIT,3,0.628571429,2.522222222,7.988888889,4.661111111,2.353333333,254.7628889
KYRGYZSTAN,1,0.816666667,2.533333333,7.666666667,19.91666667,4.366666667,642.159
LAO PEOPLE'S DEMOCRATIC REP.,1,3.2,10.51428571,2.4,44.92857143,30.87142857,794.6028571
LEBANON,2,2.25,5.1,18.75,16.85,3.85,436.8065
LESOTHO,1,1.62,6.671428571,9.82,40.2,14.08571429,263.2922857
LIBERIA,0,1.78,5.84,3.48,37.22,17.74,618.2774
LIBYA,2,3.233333333,6.766666667,21.8,26.73333333,7.166666667,621.9033333
MADAGASCAR,0,2.24,9.957142857,2.5,52.575,34.31428571,2932.9285
MALAWI,0,1.607692308,4.64,7.484615385,49.10714286,17.40666667,2409.5668
MALAYSIA,2,,11.6,6.2,19.075,18.14,2533.1929
MALDIVES,2,4.725,15.78,4.66,32.6,30.32,36.0454
