year,province,region,max_temperature,mean_province
1901,Tierra del Fuego,Patagonia,9.85,8.59
1902,Tierra del Fuego,Patagonia,9.01,8.59
1903,Tierra del Fuego,Patagonia,9.16,8.59
1904,Tierra del Fuego,Patagonia,9.17,8.59
1905,Tierra del Fuego,Patagonia,8.24,8.59
1906,Tierra del Fuego,Patagonia,8.08,8.59
1907,Tierra del Fuego,Patagonia,8.12,8.59
1908,Tierra del Fuego,Patagonia,8.07,8.59
1909,Tierra del Fuego,Patagonia,7.58,8.59
1910,Tierra del Fuego,Patagonia,8.88,8.59
1911,Tierra del Fuego,Patagonia,8.79,8.59
1912,Tierra del Fuego,Patagonia,9.35,8.59
1913,Tierra del Fuego,Patagonia,8.6,8.59
1914,Tierra del Fuego,Patagonia,8.46,8.59
1915,Tierra del Fuego,Patagonia,8.6,8.59
1916,Tierra del Fuego,Patagonia,9.47,8.59
1917,Tierra del Fuego,Patagonia,9.63,8.59
1918,Tierra del Fuego,Patagonia,8.99,8.59
1919,Tierra del Fuego,Patagonia,9.53,8.59
1920,Tierra del Fuego,Patagonia,9.32,8.59
1921,Tierra del Fuego,Patagonia,8.95,8.59
1922,Tierra del Fuego,Patagonia,8.99,8.59
1923,Tierra del Fuego,Patagonia,7.93,8.59
1924,Tierra del Fuego,Patagonia,8.87,8.59
1925,Tierra del Fuego,Patagonia,8.35,8.59
1926,Tierra del Fuego,Patagonia,8.24,8.59
1927,Tierra del Fuego,Patagonia,8.51,8.59
1928,Tierra del Fuego,Patagonia,8.81,8.59
1929,Tierra del Fuego,Patagonia,8.85,8.59
1930,Tierra del Fuego,Patagonia,8.68,8.59
1931,Tierra del Fuego,Patagonia,8.6,8.59
1932,Tierra del Fuego,Patagonia,8.17,8.59
1933,Tierra del Fuego,Patagonia,8.6,8.59
1934,Tierra del Fuego,Patagonia,8.71,8.59
1935,Tierra del Fuego,Patagonia,8.14,8.59
1936,Tierra del Fuego,Patagonia,8.82,8.59
1937,Tierra del Fuego,Patagonia,8.16,8.59
1938,Tierra del Fuego,Patagonia,8.28,8.59
1939,Tierra del Fuego,Patagonia,7.75,8.59
1940,Tierra del Fuego,Patagonia,8.58,8.59
1941,Tierra del Fuego,Patagonia,8.57,8.59
1942,Tierra del Fuego,Patagonia,8.58,8.59
1943,Tierra del Fuego,Patagonia,9.31,8.59
1944,Tierra del Fuego,Patagonia,8.49,8.59
1945,Tierra del Fuego,Patagonia,8.87,8.59
1946,Tierra del Fuego,Patagonia,8.18,8.59
1947,Tierra del Fuego,Patagonia,8.93,8.59
1948,Tierra del Fuego,Patagonia,8.12,8.59
1949,Tierra del Fuego,Patagonia,8.5,8.59
1950,Tierra del Fuego,Patagonia,7.9,8.59
1951,Tierra del Fuego,Patagonia,8.54,8.59
1952,Tierra del Fuego,Patagonia,8.98,8.59
1953,Tierra del Fuego,Patagonia,8.41,8.59
1954,Tierra del Fuego,Patagonia,8.24,8.59
1955,Tierra del Fuego,Patagonia,8.47,8.59
1956,Tierra del Fuego,Patagonia,8.93,8.59
1957,Tierra del Fuego,Patagonia,8.33,8.59
1958,Tierra del Fuego,Patagonia,8.13,8.59
1959,Tierra del Fuego,Patagonia,8.02,8.59
1960,Tierra del Fuego,Patagonia,9.12,8.59
1961,Tierra del Fuego,Patagonia,8.08,8.59
1962,Tierra del Fuego,Patagonia,9.32,8.59
1963,Tierra del Fuego,Patagonia,7.92,8.59
1964,Tierra del Fuego,Patagonia,8.27,8.59
1965,Tierra del Fuego,Patagonia,8.76,8.59
1966,Tierra del Fuego,Patagonia,8.22,8.59
1967,Tierra del Fuego,Patagonia,8.26,8.59
