year,province,region,mean_temperature,mean_province
1901,Tierra Del Fuego,Patagonia,6.29,4.99
1902,Tierra Del Fuego,Patagonia,5.5,4.99
1903,Tierra Del Fuego,Patagonia,5.54,4.99
1904,Tierra Del Fuego,Patagonia,5.8,4.99
1905,Tierra Del Fuego,Patagonia,4.53,4.99
1906,Tierra Del Fuego,Patagonia,4.3,4.99
1907,Tierra Del Fuego,Patagonia,4.53,4.99
1908,Tierra Del Fuego,Patagonia,4.47,4.99
1909,Tierra Del Fuego,Patagonia,4.35,4.99
1910,Tierra Del Fuego,Patagonia,5.42,4.99
1911,Tierra Del Fuego,Patagonia,5.39,4.99
1912,Tierra Del Fuego,Patagonia,5.55,4.99
1913,Tierra Del Fuego,Patagonia,4.94,4.99
1914,Tierra Del Fuego,Patagonia,4.76,4.99
1915,Tierra Del Fuego,Patagonia,4.99,4.99
1916,Tierra Del Fuego,Patagonia,5.84,4.99
1917,Tierra Del Fuego,Patagonia,5.95,4.99
1918,Tierra Del Fuego,Patagonia,5.36,4.99
1919,Tierra Del Fuego,Patagonia,5.76,4.99
1920,Tierra Del Fuego,Patagonia,5.77,4.99
1921,Tierra Del Fuego,Patagonia,5.72,4.99
1922,Tierra Del Fuego,Patagonia,5.69,4.99
1923,Tierra Del Fuego,Patagonia,4.64,4.99
1924,Tierra Del Fuego,Patagonia,5.63,4.99
1925,Tierra Del Fuego,Patagonia,5.06,4.99
1926,Tierra Del Fuego,Patagonia,5.07,4.99
1927,Tierra Del Fuego,Patagonia,5.28,4.99
1928,Tierra Del Fuego,Patagonia,5.28,4.99
1929,Tierra Del Fuego,Patagonia,5.27,4.99
1930,Tierra Del Fuego,Patagonia,5.02,4.99
1931,Tierra Del Fuego,Patagonia,4.94,4.99
1932,Tierra Del Fuego,Patagonia,4.53,4.99
1933,Tierra Del Fuego,Patagonia,4.74,4.99
1934,Tierra Del Fuego,Patagonia,4.85,4.99
1935,Tierra Del Fuego,Patagonia,4.32,4.99
1936,Tierra Del Fuego,Patagonia,4.77,4.99
1937,Tierra Del Fuego,Patagonia,4.26,4.99
1938,Tierra Del Fuego,Patagonia,4.49,4.99
1939,Tierra Del Fuego,Patagonia,4.09,4.99
1940,Tierra Del Fuego,Patagonia,4.79,4.99
1941,Tierra Del Fuego,Patagonia,4.88,4.99
1942,Tierra Del Fuego,Patagonia,5.04,4.99
1943,Tierra Del Fuego,Patagonia,5.37,4.99
1944,Tierra Del Fuego,Patagonia,4.94,4.99
1945,Tierra Del Fuego,Patagonia,5.17,4.99
1946,Tierra Del Fuego,Patagonia,4.58,4.99
1947,Tierra Del Fuego,Patagonia,4.78,4.99
1948,Tierra Del Fuego,Patagonia,4.32,4.99
1949,Tierra Del Fuego,Patagonia,4.81,4.99
1950,Tierra Del Fuego,Patagonia,4.38,4.99
1951,Tierra Del Fuego,Patagonia,5.03,4.99
1952,Tierra Del Fuego,Patagonia,5.32,4.99
1953,Tierra Del Fuego,Patagonia,4.99,4.99
1954,Tierra Del Fuego,Patagonia,4.68,4.99
1955,Tierra Del Fuego,Patagonia,4.87,4.99
1956,Tierra Del Fuego,Patagonia,5.31,4.99
1957,Tierra Del Fuego,Patagonia,4.71,4.99
1958,Tierra Del Fuego,Patagonia,4.56,4.99
1959,Tierra Del Fuego,Patagonia,4.13,4.99
1960,Tierra Del Fuego,Patagonia,5.03,4.99
1961,Tierra Del Fuego,Patagonia,4.13,4.99
1962,Tierra Del Fuego,Patagonia,5.39,4.99
1963,Tierra Del Fuego,Patagonia,4.43,4.99
1964,Tierra Del Fuego,Patagonia,4.57,4.99
